hour_index,total_pv_kW,total_load_kW,net_generation_kW,pv_to_load_ratio
1501,583.591678,272.59286515225,310.99881284775,2.1408912354810097
2676,598.513815,307.81025350975,290.70356149025,1.9444245480166156
1502,562.667201,272.5024594035,290.1647415965,2.0648151219143016
1837,582.1834670000001,294.851828801,287.33163819900005,1.974495011249971
2317,597.2651920000001,319.34949057075,277.9157014292501,1.8702556533354602
1836,545.459801,268.22255472175,277.23724627825,2.033608991355118
2677,598.335952,321.832265657,276.503686343,1.859154640444086
1813,586.569853,313.54487359949997,273.0249794005,1.8707684306727794
2174,561.387994,291.422087745,269.96590625500005,1.926374203196469
1500,542.886358,274.9044398845,267.9819181155,1.9748184360109755
2318,572.959812,307.130426,265.82938600000006,1.8655260489707197
1334,532.657653,270.34683654875,262.31081645125,1.9702751392605031
1645,562.11716,304.53215308975,257.58500691025,1.845838452363674
1668,520.719926,264.63252154575,256.08740445424996,1.967709490091027
1982,571.213109,315.16160694875,256.05150205125005,1.81244509037055
1814,570.713375,315.898242079,254.81513292100004,1.8066367493448696
1670,513.741312,260.069985835,253.67132616499998,1.9753963856119252
1646,551.587093,298.35003416775,253.23705883225,1.848791781404903
1838,564.601729,312.617627689,251.98410131099996,1.806045715872537
2316,579.01317,327.6735144095,251.33965559049994,1.7670429338068285
1812,560.111651,309.59511070125,250.51654029875004,1.8091747247627443
1333,523.488812,276.81535787949997,246.67345412050008,1.891111873701629
1980,569.158829,322.621643555,246.53718544499998,1.764168147444214
1166,531.395323,286.36588893075,245.02943406925,1.855651604066755
1477,558.742523,315.8165714025,242.9259515975,1.769199503210038
1332,519.72243,277.68798918675003,242.03444081325,1.8716057170872877
6877,512.4543229999999,271.91557946725,240.53874353274995,1.884608164487731
2675,537.407806,301.7859870755,235.62181892450008,1.7807579782847733
1478,547.0489660000001,312.744639135,234.30432686500006,1.749187342631547
6876,501.85873100000003,269.3797901375,232.47894086250005,1.8630155175368572
2654,568.46097,336.544781968,231.91618803199998,1.6891094403149653
1503,501.61201,270.84288773,230.76912227000003,1.8520405403741318
1644,540.207096,314.84317231375,225.36392368624996,1.715797393077564
2652,555.789424,335.6987627955,220.09066120450007,1.6556195135069793
998,502.398697,289.23688650425,213.16181049575005,1.736980028152937
7044,479.899232,268.12183358225,211.77739841774996,1.78985509608985
1165,499.02872,287.9604025795,211.06831742050002,1.7329768738924147
2319,515.214363,304.9011944465,210.31316855350002,1.6897748211367802
3180,595.765678,385.62245112275,210.14322687724996,1.5449455152843588
1981,526.953587,319.1038477305,207.8497392695,1.6513545326902028
3181,601.6288890000001,394.7434315335,206.8854574665001,1.5241010727871773
7212,487.773249,281.653597999,206.11965100100002,1.7318196917545223
2651,524.32763,318.9972733775,205.3303566225,1.6436743261308024
661,495.48169199999995,294.6726839675,200.80900803249995,1.6814646123533559
1835,468.948272,268.444261259,200.504010741,1.7469111392202157
7381,482.48760300000004,282.05566856675,200.43193443325003,1.7106112553636037
2653,534.99754,335.7971043025,199.20043569749998,1.5932166524129265
1335,468.496634,269.55904910725,198.93758489274995,1.738011147515167
6878,475.47351100000003,277.11248906625,198.36102193375,1.7158140756713178
1164,488.976552,292.469180553,196.50737144700003,1.6718908618116737
1499,471.35059,276.629214029,194.721375971,1.7039074847918239
1476,510.99609699999996,316.630092913,194.36600408699996,1.6138582744456553
1815,509.702851,316.63740961375,193.06544138625003,1.6097366701301157
2315,519.686826,328.1399282825,191.54689771749997,1.5837354117078348
7213,472.8803730000001,281.8808259095,190.99954709050007,1.6775897040766874
2655,531.644434,342.64850147575004,188.99593252425,1.5515737852600877
1667,460.363043,272.25936831900003,188.10367468099997,1.6908988078224894
1167,472.286972,285.576785351,186.71018664899998,1.653800289703926
996,484.77515200000005,298.08073809625,186.69441390375005,1.6263216250395387
973,525.111294,338.728288999,186.38300500100007,1.5502433942011467
1839,501.204067,316.454625651,184.749441349,1.5838102046545515
997,478.835771,294.1630363485,184.67273465150004,1.627790409414066
1979,504.05149,320.98580975825,183.06568024175,1.5703232763133745
1647,469.785409,287.30400384575,182.48140515425,1.6351509240263533
1811,492.226191,313.1679796005,179.05821139949995,1.5717641058199998
7380,464.001484,285.3427465305,178.6587374695,1.626119773555497
662,472.008604,293.80232825925,178.20627574075002,1.6065516062791372
7382,459.445941,281.27648306425,178.16945793575002,1.6334317549811666
2343,440.648769,263.10288168075,177.54588731925003,1.6748154353545601
1479,487.537355,310.9784198935,176.55893510649997,1.5677530087110632
7046,445.51974299999995,269.03450518625,176.48523781374996,1.6559947990150041
7357,497.668713,321.468085408,176.20062759200005,1.5481123447145861
3179,547.007963,372.86626054225,174.14170245775,1.4670352869617778
1475,478.815392,306.50156484075,172.31382715924997,1.5621955818939588
3182,580.011221,407.74003639225,172.27118460775,1.422502496221688
6875,440.576674,268.40037799925,172.17629600075003,1.6414905062456382
6540,495.474278,327.463575515,168.01070248500002,1.5130668371518994
2679,533.085924,366.15848869350003,166.92743530649994,1.455888471809652
7548,440.514266,275.4114513055,165.1028146945,1.5994769364614505
660,449.243262,289.53919311525,159.70406888475003,1.5515801353691012
7020,486.297706,328.8857440115,157.41196198850002,1.4786220241409243
974,487.24058099999996,330.23176227875,157.00881872124995,1.4754503811576665
7021,479.862357,325.969030997,153.89332600299997,1.4721102617024562
972,488.735207,336.56615739775003,152.16904960224997,1.452122249386756
6541,503.75150499999995,353.4347205735,150.31678442649996,1.4253028190249277
8389,426.21382900000003,276.31030613125,149.90352286875003,1.5425187479435736
7358,461.735473,315.04105977925,146.69441322075,1.4656358503171087
8557,426.50627299999996,280.62018005475,145.88609294524997,1.5198702794535903
2674,439.940338,295.50658469975,144.43375330024998,1.4887666105925712
1643,454.19928600000003,312.88619410625,141.31309189375003,1.4516437385349101
1669,402.783622,261.508128872,141.275493128,1.5402336523807114
325,452.886533,312.00446730775,140.88206569224997,1.4515386124319507
7884,425.356833,286.00563238125,139.35120061875,1.4872323596262618
999,429.546954,290.26866552375,139.27828847625005,1.4798254291248285
6539,448.136753,309.7606987135,138.3760542865,1.446719204258271
8388,419.82149400000003,281.98921716575,137.83227683425002,1.4887856235454853
8053,429.51538800000003,291.820614115,137.69477388500002,1.4718473121946425
469,459.172792,322.12994775,137.04284425000003,1.4254272034679918
7885,422.16483500000004,285.79120061825,136.37363438175004,1.4771792574773286
7379,426.354198,290.42201726875,135.93218073125,1.4680505305402205
1331,408.30976000000004,274.70522541025,133.60453458975002,1.4863559945169098
1163,423.658809,290.70885735625,132.94995164375,1.4573302354647415
